"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Monday, 15 July 2019",130,11,261,262,176,346,68,NA,34,560,419,73,84,32,171,435,271,17,239,11,700,242,16,722,997,526,82,317,38,881,891,8,27,211,36,163,347,988,143,501,81,66,219,224
"Tuesday, 16 July 2019",107,6,255,207,150,271,68,NA,12,441,300,80,53,21,162,360,188,11,148,8,543,171,23,603,767,395,88,133,18,683,646,9,20,179,22,119,275,756,92,373,61,62,184,134
"Wednesday, 17 July 2019",121,7,229,247,157,283,70,NA,25,489,346,63,80,39,165,404,217,9,232,6,545,247,21,652,815,367,80,163,36,744,708,5,27,180,20,107,303,802,102,440,44,44,209,139
"Thursday, 18 July 2019",126,23,268,302,238,354,101,NA,44,583,414,77,77,36,183,451,271,8,308,27,740,249,28,777,1059,589,94,327,34,892,817,11,29,220,26,188,358,1168,152,520,124,87,250,225
"Friday, 19 July 2019",91,10,174,166,99,181,53,NA,28,354,209,74,78,26,142,255,124,2,135,8,353,98,17,410,579,251,48,50,30,444,443,6,8,130,19,60,203,593,68,283,18,23,184,87
"Saturday, 20 July 2019",62,14,43,74,125,95,72,NA,31,183,159,46,50,24,48,181,190,1,239,38,154,277,41,171,313,365,75,274,30,454,331,8,19,94,15,131,129,747,40,338,75,130,93,122
"Sunday, 21 July 2019",109,24,221,115,314,149,122,NA,32,248,330,37,68,25,61,257,360,11,370,76,344,476,31,247,748,894,101,756,53,813,616,9,42,143,32,301,132,1294,182,593,287,344,117,408
"Monday, 22 July 2019",126,14,334,320,204,447,93,NA,23,700,560,98,82,36,183,544,305,29,357,14,805,280,25,898,1307,728,98,254,39,1076,1060,5,36,277,44,222,422,1203,214,555,92,99,276,193
"Tuesday, 23 July 2019",143,4,344,367,293,424,145,NA,44,763,555,113,74,36,198,544,309,26,433,6,821,333,27,911,1377,800,109,320,37,1193,1124,13,28,268,41,229,466,1473,217,543,110,122,297,250
"Wednesday, 24 July 2019",148,14,336,365,265,440,105,NA,37,724,561,98,92,39,174,554,331,35,420,15,779,267,27,890,1312,757,98,257,34,1102,1106,11,35,258,49,248,450,1301,200,570,98,130,277,228
