"Date","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec","Westhaven.Dr","Victoria.St.West"
"Sun 12 Jan 2020",19,299,112,385,171,128,80,42,279,389,30,72,25,60,269,369,13,410,39,451,561,39,329,856,1119,283,609,55,1115,1021,19,25,150,37,265,181,1695,214,835,311,390,108,390,NA,95
"Mon 13 Jan 2020",41,505,369,315,540,142,298,48,821,709,95,84,50,204,525,387,8,378,45,1057,372,47,1141,1783,1032,215,412,64,1355,965,19,38,338,58,227,415,1522,261,669,268,167,347,334,NA,120
"Tue 14 Jan 2020",19,498,386,309,543,149,287,38,822,685,112,90,48,208,498,344,23,384,56,1000,327,39,1136,1731,1008,196,273,65,1298,937,13,44,296,46,209,415,1584,266,652,316,171,321,304,NA,195
"Wed 15 Jan 2020",32,411,365,346,554,145,269,63,803,684,88,104,42,210,577,369,31,432,44,975,361,31,1068,1814,1099,182,339,64,1384,998,24,42,328,55,208,445,1632,303,696,237,187,380,357,NA,174
"Thu 16 Jan 2020",44,528,395,377,545,149,214,50,841,689,100,79,53,228,538,409,31,439,48,991,382,39,1187,1734,1069,209,378,66,1459,1250,18,42,311,48,272,452,1805,282,708,205,180,346,385,NA,184
"Fri 17 Jan 2020",44,492,312,373,523,130,240,43,738,607,87,76,58,204,509,345,8,447,58,859,330,41,969,1474,927,218,362,75,1324,1039,13,44,278,59,231,396,1568,225,750,174,167,345,303,NA,200
"Sat 18 Jan 2020",27,291,126,327,192,154,109,53,318,400,41,67,72,80,308,420,5,471,38,377,584,28,291,781,1059,205,476,74,960,863,11,30,165,38,321,193,1588,193,722,204,403,146,345,NA,115
"Sun 19 Jan 2020",17,318,133,330,215,126,130,48,321,441,29,75,22,64,259,432,15,372,64,414,662,17,320,885,1267,256,605,59,1090,1065,13,43,190,64,295,171,1637,190,723,196,298,123,380,NA,73
"Mon 20 Jan 2020",36,534,407,353,582,145,312,33,880,732,93,81,62,204,519,415,25,412,38,1083,399,33,1185,1971,1116,178,323,67,1490,872,14,42,328,51,258,464,1759,292,716,184,151,363,366,NA,160
"Tue 21 Jan 2020",34,571,441,356,578,186,327,48,915,752,93,100,57,233,567,485,25,576,49,1142,451,39,1247,1881,1194,183,312,90,1691,1309,15,56,372,51,268,475,1920,259,770,167,194,366,426,NA,193
"Wed 22 Jan 2020",38,586,435,341,566,131,314,76,911,730,104,111,61,223,538,446,25,484,20,1055,462,59,1189,1878,1094,211,428,84,1430,1228,18,42,328,80,291,453,1630,312,780,156,191,370,424,NA,193
"Thu 23 Jan 2020",48,451,415,355,525,130,339,52,866,731,113,108,58,211,501,359,9,464,22,1030,415,43,1167,1744,1044,176,367,67,1567,1316,19,55,310,56,286,431,1856,222,829,148,147,387,368,NA,144
"Fri 24 Jan 2020",19,388,314,266,421,108,226,59,620,530,88,94,39,150,359,242,21,333,50,674,338,37,812,1258,777,199,295,87,1052,920,19,35,232,41,173,349,1243,206,666,114,86,307,255,NA,167
"Sat 25 Jan 2020",33,86,128,254,185,177,115,32,286,362,54,60,23,82,228,356,21,382,50,337,551,58,316,671,864,248,423,60,931,838,22,20,223,32,238,189,1391,136,807,236,293,138,251,NA,115
"Sun 26 Jan 2020",21,245,76,287,166,148,84,44,233,364,38,75,23,54,215,292,17,354,63,368,514,45,309,669,1022,268,417,43,901,1216,11,28,146,60,263,181,1320,144,849,177,329,111,285,NA,101
"Mon 27 Jan 2020",38,251,82,408,173,87,109,42,236,390,31,48,22,68,252,266,21,365,39,359,483,42,336,757,913,235,591,68,1098,1105,31,44,142,45,261,141,1589,140,1053,220,233,132,306,NA,90
"Tue 28 Jan 2020",32,489,440,307,583,129,319,59,868,713,107,85,55,222,505,353,17,416,16,1093,391,24,1202,1835,1050,201,363,81,1497,1169,19,36,342,43,270,442,1764,273,709,104,145,368,349,NA,184
